strain	virus	date	country	division	location	host_type	length	lineage	authors	source
MT041053.1	Influenza A virus	2018-07-25	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041061.1	Influenza A virus	2018-08-08	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041077.1	Influenza A virus	2018-05-03	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041109.1	Influenza A virus	2018-08-01	Brazil			Sus scrofa	1778	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041117.1	Influenza A virus	2015-03-11	Brazil			Sus scrofa	1781	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041125.1	Influenza A virus	2017-09-27	Brazil			Sus scrofa	1776	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041141.1	Influenza A virus	2017-10-16	Brazil			Sus scrofa	1779	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041149.1	Influenza A virus	2015-04-02	Brazil			Sus scrofa	1780	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041157.1	Influenza A virus	2018-01-08	Brazil			Sus scrofa	1777	6B.1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041165.1	Influenza A virus	2018-01-08	Brazil			Sus scrofa	1777	6B.1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041173.1	Influenza A virus	2017-03-08	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT041181.1	Influenza A virus	2017-09-25	Brazil			Sus scrofa	1777	6B.1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT068648.1	Influenza A virus	2016-07-14	Brazil			Sus scrofa	1758	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT068751.1	Influenza A virus	2017-09-11	Brazil			Sus scrofa	1778	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT068776.1	Influenza A virus	2017-09-19	Brazil			Sus scrofa	1777	6B.1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT068783.1	Influenza A virus	2016-04-13	Brazil			Sus scrofa	1778	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MT068805.1	Influenza A virus	2018-09-24	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772516.1	Influenza A virus	2019-08-08	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772539.1	Influenza A virus	2018-04-01	Brazil			Sus scrofa	1777	6B.1A.5b	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772547.1	Influenza A virus	2019-06-27	Brazil			Sus scrofa	1777	6B.1A.5a	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772555.1	Influenza A virus	2019-06-27	Brazil			Sus scrofa	1777	6B.1A.5a	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772563.1	Influenza A virus	2018-09-05	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772587.1	Influenza A virus	2020-02-04	Brazil			Sus scrofa	1776	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772603.1	Influenza A virus	2020-01-28	Brazil			Sus scrofa	1778	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772635.1	Influenza A virus	2019-08-08	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772643.1	Influenza A virus	2019-08-08	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772651.1	Influenza A virus	2019-07-30	Brazil			Sus scrofa	1777	6B.1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772667.1	Influenza A virus	2019-08-05	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772763.1	Influenza A virus	2020-01-14	Brazil			Sus scrofa	1778	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772801.1	Influenza A virus	2020-02-03	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772858.1	Influenza A virus	2019-06-25	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772865.1	Influenza A virus	2019-07-01	Brazil			Sus scrofa	1776	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772885.1	Influenza A virus	2019-07-30	Brazil			Sus scrofa	1777	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
MW772917.1	Influenza A virus	2019-08-29	Brazil			Sus scrofa	1778	1	Schaefer,R., Cantao,M.E., Gava,D.	ncbi
KY924963.1	Influenza A virus (A/Canoas/LACENRS-1023/2016(H1N1))	2016-04-22	Brazil			Homo sapiens	1777	6B.1		ncbi
KY924976.1	Influenza A virus (A/Canoas/LACENRS-1320/2016(H1N1))	2016-05-02	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925080.1	Influenza A virus (A/Santa Rosa/LACENRS-1297/2016(H1N1))	2016-04-29	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925137.1	Influenza A virus (A/Porto Alegre/LACENRS-463/2016(H1N1))	2016-04-04	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925165.1	Influenza A virus (A/Vacaria/LACENRS-1312/2016(H1N1))	2016-04-29	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925175.1	Influenza A virus (A/Rosario do Sul/LACENRS-1230/2016(H1N1))	2016-04-26	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925204.1	Influenza A virus (A/Porto Alegre/LACENRS-289/2016(H1N1))	2016-03-29	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925209.1	Influenza A virus (A/Novo Hamburgo/LACENRS-385/2016(H1N1))	2016-04-04	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925242.1	Influenza A virus (A/Porto Alegre/LACENRS-934/2016(H1N1))	2016-04-19	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925272.1	Influenza A virus (A/Cruz Alta/LACENRS-428/2016(H1N1))	2016-04-07	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925363.1	Influenza A virus (A/Pelotas/LACENRS-1213/2016(H1N1))	2016-04-26	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925365.1	Influenza A virus (A/Vacaria/LACENRS-495/2016(H1N1))	2016-04-09	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925443.1	Influenza A virus (A/Uruguaiana/LACENRS-296/2016(H1N1))	2016-03-27	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925549.1	Influenza A virus (A/Porto Alegre/LACENRS-1318/2016(H1N1))	2016-05-02	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925587.1	Influenza A virus (A/Porto Alegre/LACENRS-1009/2016(H1N1))	2016-04-21	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925622.1	Influenza A virus (A/Passo Fundo/LACENRS-224/2016(H1N1))	2016-03-26	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925652.1	Influenza A virus (A/Esteio/LACENRS-1359/2016(H1N1))	2016-05-03	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925684.1	Influenza A virus (A/Porto Alegre/LACENRS-378/2016(H1N1))	2016-04-04	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925794.1	Influenza A virus (A/Erechim/LACENRS-485/2016(H1N1))	2016-04-09	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925798.1	Influenza A virus (A/Gramado/LACENRS-1287/2016(H1N1))	2016-04-29	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925811.1	Influenza A virus (A/Santa Rosa/LACENRS-345/2016(H1N1))	2016-04-02	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925812.1	Influenza A virus (A/Tres Coroas/LACENRS-877/2016(H1N1))	2016-04-19	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925857.1	Influenza A virus (A/Porto Alegre/LACENRS-503/2016(H1N1))	2016-04-08	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925910.1	Influenza A virus (A/Gravatai/LACENRS-1113/2016(H1N1))	2016-04-24	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925951.1	Influenza A virus (A/Canoas/LACENRS-1105/2016(H1N1))	2016-04-25	Brazil			Homo sapiens	1777	6B.1		ncbi
KY925959.1	Influenza A virus (A/Porto Alegre/LACENRS-994/2016(H1N1))	2016-04-21	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926001.1	Influenza A virus (A/Porto Alegre/LACENRS-1053/2016(H1N1))	2016-04-21	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926100.1	Influenza A virus (A/Porto Alegre/LACENRS-599/2016(H1N1))	2016-04-08	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926159.1	Influenza A virus (A/Sapiranga/LACENRS-1302/2016(H1N1))	2016-04-29	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926161.1	Influenza A virus (A/Tapera/LACENRS-657/2016(H1N1))	2016-04-11	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926203.1	Influenza A virus (A/Santa Maria/LACENRS-1269/2016(H1N1))	2016-04-28	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926257.1	Influenza A virus (A/Torres/LACENRS-1102/2016(H1N1))	2016-04-25	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926269.1	Influenza A virus (A/Passo Fundo/LACENRS-1034/2016(H1N1))	2016-04-22	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926334.1	Influenza A virus (A/Passo Fundo/LACENRS-524/2016(H1N1))	2016-04-08	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926363.1	Influenza A virus (A/Passo Fundo/LACENRS-1138/2016(H1N1))	2016-04-23	Brazil			Homo sapiens	1777	6B.1		ncbi
KY926366.1	Influenza A virus (A/Santa Cruz do Sul/LACENRS-1192/2016(H1N1))	2016-04-25	Brazil			Homo sapiens	1777	6B.1		ncbi
KX830875.1	Influenza A virus (A/swine/Argentina/CIP112-C102/2015(H1N1))	2015-04-06	Argentina			Sus scrofa	1701	1	Dibarbora,M., Cappuccio,J., Pereda,A.	ncbi
KX830878.1	Influenza A virus (A/swine/Argentina/CIP112-2203/2016(H1N1))	2016-04-19	Argentina			Sus scrofa	1718	6B.1	Dibarbora,M., Cappuccio,J., Pereda,A.	ncbi
MW674878.1	Influenza A virus	2017-07-20	Australia			Homo sapiens	1745	6B.1A	Nguyen,T.H., Deng,Y.-M., Hurt,A., Kedzierska,K.	ncbi
MN200963.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1744	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200964.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1744	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200965.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1745	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200966.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1745	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200967.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1744	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200971.1	Influenza A virus	2017-05-30	Australia			Sus scrofa	1746	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200974.1	Influenza A virus	2017-05-30	Australia			Sus scrofa	1746	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201068.1	Influenza A virus	2017-07-05	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201108.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201116.1	Influenza A virus	2017-04-07	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201124.1	Influenza A virus	2017-05-30	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201132.1	Influenza A virus	2017-05-30	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN201140.1	Influenza A virus	2017-07-07	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
OQ718991.1	Influenza A virus	2018-01-04	Australia			Homo sapiens	1745	6B.1A.1	Aziz,A., Deng,Y., Barr,I.	ncbi
MN200980.1	Influenza A virus	2018-11-25	Australia			Sus scrofa	1701	1	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
MN200988.1	Influenza A virus	2018-09-21	Australia			Sus scrofa	1701	6B.1A	Deng,Y.M., Wong,F.Y.K., Spirason,N., Kaye,M., Beazley,R., Grau,M., Shan,S., Stevens,V., Subbarao,K., Sullivan,S., Barr,I.G., Dhanasekaran,V., Davies,K.R., Butler,J., Mileto,P., Wong,F.Y.	ncbi
